INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.file.FileReadingMessageSource.receive(FileReadingMessageSource.java:366) ~[spring-integration-file-4.3.13.RELEASE.jar:4.3.13.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.endpoint.SourcePollingChannelAdapter.receiveMessage(SourcePollingChannelAdapter.java:224) ~[spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.endpoint.AbstractPollingEndpoint.doPoll(AbstractPollingEndpoint.java:245) ~[spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.endpoint.AbstractPollingEndpoint.access$000(AbstractPollingEndpoint.java:58) ~[spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.endpoint.AbstractPollingEndpoint$1.call(AbstractPollingEndpoint.java:190) ~[spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.endpoint.AbstractPollingEndpoint$1.call(AbstractPollingEndpoint.java:186) ~[spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.endpoint.AbstractPollingEndpoint$Poller$1.run(AbstractPollingEndpoint.java:353) ~[spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.util.ErrorHandlingTaskExecutor$1.run(ErrorHandlingTaskExecutor.java:55) [spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.core.task.SyncTaskExecutor.execute(SyncTaskExecutor.java:50) [spring-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
INFO   | jvm 1    | main    | 2018/05/08 16:00:54.446 | 	at org.springframework.integration.util.ErrorHandlingTaskExecutor.execute(ErrorHandlingTaskExecutor.java:51) [spring-integration-core-4.3.14.RELEASE.jar:4.3.14.RELEASE]
